tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision
382.0,161.52,76.39,23.54,ALPHA,THETA
382.0,161.22,76.39,23.47,ALPHA,THETA
381.0,162.91,77.93,23.33,ALPHA,THETA
381.0,163.15,78.06,23.33,ALPHA,THETA
381.0,163.38,78.06,23.33,ALPHA,THETA
381.0,163.08,77.86,23.43,ALPHA,THETA
380.0,161.58,75.37,23.69,ALPHA,THETA
380.0,160.98,75.58,23.69,ALPHA,THETA
380.0,161.31,75.37,23.59,ALPHA,THETA
380.0,161.28,75.57,23.59,ALPHA,THETA
379.0,160.59,75.18,23.71,ALPHA,THETA
379.0,160.27,75.11,23.52,ALPHA,THETA
379.0,160.69,75.35,23.72,ALPHA,THETA
336.0,162.0,79.98,23.86,ALPHA,THETA
336.0,161.81,80.02,23.84,ALPHA,THETA
336.0,161.74,80.16,23.75,ALPHA,THETA
336.0,161.69,79.98,23.8,ALPHA,THETA
336.0,161.99,79.98,23.8,ALPHA,THETA
335.0,161.38,80.62,23.79,ALPHA,THETA
335.0,161.27,80.48,23.84,ALPHA,THETA
335.0,161.19,80.88,23.7,GAMMA,THETA
335.0,161.49,80.88,23.8,GAMMA,THETA
334.0,162.42,82.88,23.81,GAMMA,THETA
334.0,162.47,82.76,23.68,GAMMA,THETA
334.0,162.85,83.0,23.83,GAMMA,THETA
334.0,162.72,82.82,23.67,ALPHA,THETA
333.0,162.85,82.42,23.84,ALPHA,THETA
333.0,163.23,82.55,23.67,ALPHA,THETA
333.0,162.93,82.15,23.77,ALPHA,THETA
332.0,165.07,84.32,23.77,ALPHA,THETA
332.0,164.87,84.13,23.8,GAMMA,THETA
332.0,164.73,84.09,23.75,GAMMA,THETA
332.0,164.98,84.29,23.85,GAMMA,THETA
331.0,165.57,84.05,23.96,GAMMA,THETA
331.0,165.75,84.21,23.82,GAMMA,THETA
331.0,165.68,84.03,23.96,GAMMA,THETA
331.0,165.7,84.23,23.87,GAMMA,THETA
330.0,165.74,83.62,23.73,ALPHA,THETA
330.0,166.05,83.76,23.68,GAMMA,THETA
330.0,165.75,83.56,23.66,GAMMA,THETA
329.0,166.18,82.84,23.79,GAMMA,THETA
329.0,166.62,83.04,23.82,GAMMA,THETA
329.0,166.48,82.84,23.72,GAMMA,ALPHA
328.0,165.2,81.84,23.63,GAMMA,ALPHA
328.0,165.15,81.84,23.65,GAMMA,ALPHA
328.0,164.95,81.84,23.65,GAMMA,THETA
328.0,165.25,81.64,23.55,GAMMA,THETA
327.0,165.47,81.98,23.58,GAMMA,THETA
288.0,168.08,78.03,23.6,GAMMA,THETA
288.0,167.95,78.02,23.54,GAMMA,THETA
288.0,167.67,78.02,23.51,GAMMA,THETA
288.0,167.78,78.02,23.53,GAMMA,THETA
287.0,167.17,79.08,23.44,GAMMA,THETA
287.0,166.57,79.29,23.44,THETA,THETA
287.0,167.09,79.08,23.48,THETA,GAMMA
287.0,166.87,79.09,23.54,THETA,GAMMA
286.0,166.0,78.38,23.69,ALPHA,THETA
286.0,166.06,78.35,23.72,ALPHA,THETA
286.0,166.49,78.59,23.84,ALPHA,THETA
286.0,166.19,78.49,23.76,ALPHA,THETA
285.0,166.72,79.02,23.87,ALPHA,THETA
285.0,166.53,79.02,23.8,ALPHA,THETA
285.0,166.5,78.7,23.94,ALPHA,THETA
285.0,166.93,78.93,23.85,ALPHA,THETA
285.0,166.75,78.82,23.87,ALPHA,THETA
284.0,166.57,79.11,23.96,ALPHA,THETA
284.0,166.97,78.82,23.76,ALPHA,THETA
284.0,166.96,79.19,23.95,ALPHA,THETA
284.0,166.97,79.22,23.96,GAMMA,THETA
284.0,166.67,79.02,23.86,GAMMA,THETA
283.0,166.56,78.92,23.77,GAMMA,THETA
283.0,166.71,78.82,23.67,ALPHA,THETA
283.0,166.56,78.52,23.8,ALPHA,THETA
283.0,166.86,78.72,23.77,ALPHA,THETA
282.0,169.39,79.78,23.89,ALPHA,THETA
282.0,169.42,80.06,23.69,ALPHA,THETA
282.0,169.41,79.95,23.71,ALPHA,THETA
282.0,169.26,79.85,23.73,ALPHA,THETA
282.0,169.27,79.98,23.79,ALPHA,THETA
281.0,170.42,80.75,23.82,ALPHA,THETA
281.0,171.02,80.92,23.88,ALPHA,THETA
281.0,170.63,81.08,23.79,ALPHA,THETA
281.0,170.72,80.95,23.82,ALPHA,THETA
280.0,170.54,80.17,23.82,ALPHA,THETA
280.0,170.19,80.39,23.81,GAMMA,THETA
280.0,170.55,80.3,23.91,GAMMA,THETA
280.0,170.33,80.29,24.01,THETA,THETA
280.0,170.29,80.37,23.91,THETA,THETA
279.0,170.39,80.06,23.75,THETA,ALPHA
279.0,170.36,80.3,23.62,THETA,ALPHA
279.0,170.01,80.06,23.67,THETA,ALPHA
279.0,170.19,80.24,23.77,THETA,ALPHA
238.0,162.63,74.44,24.36,GAMMA,ALPHA
238.0,162.93,74.44,24.36,GAMMA,ALPHA
237.0,163.11,75.07,24.5,THETA,ALPHA
237.0,162.8,74.73,24.44,THETA,THETA
237.0,162.81,74.9,24.51,GAMMA,THETA
236.0,162.87,75.19,24.65,ALPHA,THETA
236.0,162.27,75.19,24.65,ALPHA,THETA
235.0,161.8,74.16,24.5,ALPHA,GAMMA
235.0,161.5,74.36,24.46,ALPHA,THETA
234.0,162.44,75.41,24.54,GAMMA,THETA
234.0,162.63,75.39,24.69,GAMMA,THETA
234.0,162.58,75.46,24.64,GAMMA,ALPHA
233.0,161.81,76.07,24.75,GAMMA,THETA
233.0,162.16,76.18,24.59,GAMMA,THETA
233.0,161.89,76.07,24.75,GAMMA,THETA
233.0,161.86,76.27,24.65,ALPHA,THETA
232.0,158.94,74.51,24.67,ALPHA,THETA
232.0,159.19,74.46,24.72,GAMMA,THETA
232.0,159.24,74.66,24.66,GAMMA,THETA
231.0,158.43,74.21,24.5,GAMMA,THETA
231.0,158.73,74.01,24.53,GAMMA,THETA
230.0,160.65,76.54,24.58,ALPHA,THETA
230.0,160.95,76.73,24.5,ALPHA,THETA
229.0,158.99,76.31,24.32,THETA,THETA
229.0,159.51,76.47,24.26,THETA,THETA
229.0,158.99,76.31,24.38,THETA,THETA
184.0,160.1,77.12,24.8,ALPHA,THETA
184.0,160.43,76.81,24.64,ALPHA,THETA
184.0,160.13,77.01,24.7,ALPHA,THETA
183.0,160.92,79.19,24.68,ALPHA,THETA
183.0,160.85,79.19,24.69,ALPHA,THETA
183.0,160.88,79.37,24.69,ALPHA,THETA
183.0,160.62,79.34,24.64,ALPHA,THETA
183.0,160.92,79.39,24.64,ALPHA,THETA
