tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position,ALPHA - Beta,GAMMA - Beta,THETA - Beta
225.0,143.32,56.57,24.29,ALPHA,THETA,True,False,True,-0.31211546169310656,-0.6690880824857205,0.6728763821676915
225.0,142.79,56.57,24.29,ALPHA,THETA,True,False,True,-0.45310543527672575,-0.46732727386121986,-1.0341217812333208
224.0,142.72,57.22,23.93,ALPHA,THETA,True,False,True,0.4585313144505871,-0.3846239652380112,0.2896917615606888
224.0,142.79,56.96,23.91,ALPHA,THETA,True,False,True,-0.28908570069216605,0.3504015187036111,-0.7060126325405455
224.0,142.49,57.16,23.83,ALPHA,THETA,True,False,True,0.2996830917284086,0.30906218668890395,-0.044628866112143346
223.0,143.08,57.44,23.93,ALPHA,THETA,True,False,True,0.2722784273148365,0.2952007912419612,-0.11242230117176492
223.0,142.95,57.04,23.89,ALPHA,THETA,True,False,True,0.24270028692536658,-0.21112062491134428,-0.5741556460637791
223.0,143.43,57.09,23.74,ALPHA,THETA,True,False,True,-0.20998874007334284,-0.6851795134515027,0.6753705221192349
223.0,143.45,56.88,23.84,ALPHA,THETA,True,False,True,-0.25383118092935175,-0.6824911949006157,0.6677161779838374
180.0,143.91,60.52,26.13,ALPHA,THETA,False,True,False,-0.1412834937040403,0.5578191185199488,-0.4458229674383927
180.0,143.8,60.58,26.15,ALPHA,THETA,False,True,False,0.03819517637993848,-0.4079720398816844,0.2871911279664086
180.0,143.31,60.52,26.19,GAMMA,THETA,False,True,False,0.047549223082699384,-0.02710063568629137,-0.29146215214498983
179.0,142.95,60.3,26.16,GAMMA,THETA,False,True,False,0.04074587360665589,-0.001727724215276329,-0.2948160882014325
179.0,142.98,59.93,26.19,GAMMA,THETA,False,True,False,-0.013260892790665248,0.11402516588109995,0.0022186211796018773
179.0,142.96,60.33,26.23,GAMMA,THETA,False,True,False,0.08485863729334525,-0.0861580248993806,0.5685853329397547
179.0,142.68,60.13,26.26,GAMMA,THETA,False,True,False,-0.4055443484363304,0.11450083957479706,0.629645001858528
178.0,143.16,60.37,26.31,GAMMA,THETA,False,True,False,-0.35439036459754086,0.017171181755909686,0.6111079043600167
178.0,143.03,60.56,26.23,GAMMA,THETA,False,True,False,0.37490087633359975,0.16056078415172753,-0.4670064925034384
178.0,143.29,60.25,26.24,GAMMA,THETA,False,True,False,-0.1070502473898835,0.1062709740290076,0.23057399241523466
178.0,143.03,60.4,26.21,GAMMA,THETA,False,True,False,0.08540744381168286,-0.07470338391145091,-0.15273670737544862
178.0,143.33,60.45,26.21,ALPHA,THETA,False,True,False,0.18115098389194262,-0.5761516480104855,-0.15273670737544862
177.0,142.71,60.38,26.23,ALPHA,THETA,False,True,False,0.17091785754056057,-0.5790454919479993,-0.1297653382169194
177.0,142.69,60.47,26.29,ALPHA,THETA,False,True,False,-0.16148576859423822,0.08801652509299902,-0.33435764284481284
177.0,142.99,60.42,26.23,ALPHA,THETA,False,True,False,-0.07761843478578766,-0.2898623381576101,-0.2700531301123509
176.0,142.69,60.83,26.02,ALPHA,THETA,True,False,True,-0.1434880498858935,-0.15435450995581204,-0.49436710245570464
176.0,142.91,60.83,25.97,ALPHA,THETA,True,False,True,-0.2964924319147302,-0.15435450995581204,-0.4661763570784431
176.0,142.71,60.83,25.97,ALPHA,THETA,True,False,True,0.23067840443604726,-0.15435450995581204,-0.4661763570784431
176.0,142.61,60.63,25.98,ALPHA,THETA,True,False,True,0.29595123902395304,0.7945479437393272,-0.479922544773898
175.0,142.6,60.65,26.49,ALPHA,THETA,True,False,True,0.22492341575662442,0.41486871467766767,-0.626776477135829
175.0,142.47,60.65,26.47,ALPHA,THETA,True,False,True,0.008411584304589857,0.41486871467766767,0.5223393084462786
175.0,142.83,60.59,26.49,ALPHA,THETA,True,False,True,0.2277869787294274,-0.4120794524453576,1.0485225904786404
175.0,142.77,60.45,26.39,ALPHA,THETA,True,False,True,0.002530403083247492,-0.4410691308250148,-0.24369528239544314
174.0,142.32,60.24,26.44,ALPHA,THETA,True,False,True,-0.010709901203024216,-0.48046331905006406,-0.21514607898364232
174.0,142.31,60.3,26.44,ALPHA,THETA,True,False,True,-0.26409063891604967,-0.04921319225884424,-0.21514607898364232
174.0,142.24,59.99,26.62,ALPHA,THETA,True,False,True,-0.18866512550067205,-0.4112806210061159,0.2816988255067465
174.0,141.84,60.1,26.62,ALPHA,THETA,True,False,True,0.2460085985943614,-0.08223015425254646,0.2816988255067465
174.0,142.14,60.1,26.52,ALPHA,THETA,True,False,True,-0.1437758859815492,-0.08223015425254646,-0.49876390026205014
173.0,143.17,60.39,26.25,ALPHA,THETA,True,False,True,-0.1319204947027791,-0.10672245448276417,-0.5891140322869919
173.0,143.11,60.6,26.24,ALPHA,THETA,True,False,True,-0.21773148242764181,0.46768449948973706,-0.15763364313078387
173.0,142.81,60.65,26.24,ALPHA,THETA,True,False,True,0.2843198103026527,0.563922051515737,-0.15763364313078387
173.0,142.87,60.45,26.34,ALPHA,THETA,True,False,True,-0.03089773786041955,-0.35978015760010124,-0.9244386429161884
138.0,143.8,62.99,25.31,THETA,ALPHA,False,True,True,-0.366350417853245,-0.11005983002565849,1.0411814437841098
137.0,144.31,63.34,25.33,THETA,ALPHA,False,True,True,-0.33730259960364234,0.08474644522661658,-0.3562956457777523
137.0,144.02,63.34,25.33,THETA,ALPHA,False,True,True,-0.0986380865237595,0.08474644522661658,-0.3562956457777523
137.0,144.08,63.45,25.23,GAMMA,THETA,False,True,True,0.9251244872529416,-0.3101730178398499,-0.38602189541258913
137.0,145.17,63.48,25.24,GAMMA,THETA,False,True,True,0.7674921630329918,-0.4241173141418685,-0.41267605368524757
136.0,144.99,63.49,25.24,GAMMA,THETA,False,True,True,-0.46006497766652243,0.28457377055509664,-0.41267605368524757
136.0,144.86,63.67,25.24,GAMMA,THETA,False,True,True,-0.1526304121396363,0.20978650091249157,-0.41267605368524757
136.0,144.57,63.48,25.32,GAMMA,THETA,False,True,True,0.5412726479940448,-0.34799397429451934,0.7503796815632898
136.0,144.87,63.58,25.34,GAMMA,THETA,False,True,True,-0.021556496928196788,-0.23666772079887194,0.6677364250103079
135.0,143.87,63.95,25.19,THETA,GAMMA,False,True,True,0.04135628747994267,-0.283940690867808,0.4349816838820772
135.0,144.07,63.95,25.27,THETA,GAMMA,False,True,True,-0.4257331200135266,-0.3800424109343102,-0.18252703540932003
135.0,144.17,63.75,25.17,THETA,GAMMA,False,True,True,0.33422922775611397,0.4949271100152691,0.10329534175804916
135.0,143.43,63.68,25.01,THETA,GAMMA,False,True,True,0.23908193720238227,0.5065251106338964,-0.009254465592060527
134.0,143.58,63.63,24.99,THETA,GAMMA,False,True,True,-0.3538165248633487,0.5622610665105638,-0.21140492701574284
134.0,143.65,63.77,24.99,THETA,THETA,False,True,True,-0.04802252361460405,0.0703890640554781,-0.21140492701574284
134.0,143.43,63.77,24.92,THETA,THETA,False,True,True,0.050209064245918755,0.0703890640554781,0.5733122614364221
134.0,143.73,63.72,25.02,GAMMA,THETA,False,True,True,0.027754147329090085,0.024130518340279006,0.5496480206111009
133.0,144.5,63.13,25.02,GAMMA,THETA,False,True,True,0.07306507545430999,0.09783964595558343,0.5496480206111009
133.0,144.13,63.02,24.94,GAMMA,THETA,False,True,True,0.09716154252318111,0.43720183521347933,-0.7218574113603231
133.0,144.43,63.22,25.0,GAMMA,THETA,False,True,True,-0.23161421755620923,-0.6400539762337906,1.1795865485910535
132.0,143.92,63.17,25.23,GAMMA,THETA,False,True,True,-0.2199711420161824,-0.7004455172551097,1.0999356567767347
132.0,144.5,63.17,25.14,GAMMA,THETA,False,True,True,0.22286192389880902,-0.7004455172551097,-0.09448292786495047
132.0,143.95,63.28,25.23,GAMMA,THETA,False,True,True,-0.0008611037502835379,-0.014004361734560914,1.1248499486358765
132.0,144.22,63.37,25.13,GAMMA,THETA,False,True,True,0.09643241767428821,0.061568490333301716,1.2607828782255104
131.0,143.98,62.76,24.55,GAMMA,THETA,False,True,True,0.11288473162927763,0.28876704637899026,-0.5579007208731858
131.0,143.71,62.91,24.7,GAMMA,THETA,False,True,True,0.12330620841088466,-0.2029465068087336,0.7797693593644183
131.0,144.3,62.92,24.71,GAMMA,THETA,False,True,True,-0.19551275658223866,0.4068544426164509,0.06732506161561011
131.0,144.01,62.96,24.61,GAMMA,GAMMA,False,True,True,0.3939150315472502,-0.4262822991145837,-0.47303820179035644
130.0,144.5,63.17,24.24,ALPHA,GAMMA,False,True,True,0.31093114130416316,0.018682865254002992,0.7221384123418205
130.0,144.35,63.17,24.24,ALPHA,GAMMA,False,True,True,-0.45762496491802007,0.018682865254002992,0.7221384123418205
130.0,144.2,63.3,24.38,ALPHA,GAMMA,False,True,True,0.5047889405516659,0.10494863310493868,-0.25131530762504106
130.0,144.5,63.17,24.34,ALPHA,GAMMA,False,True,True,-0.31352356000562864,-0.003889688482818127,-0.4291736599241507
84.0,148.37,64.74,25.28,ALPHA,THETA,True,False,False,0.27876154562639327,0.46166952038231396,-0.588413758576703
83.0,148.47,64.39,25.56,ALPHA,THETA,True,False,False,0.10552293346606315,-0.2458543087928851,-0.6282882087731232
83.0,148.8,64.3,25.45,ALPHA,THETA,True,False,False,0.042023795732636905,0.340891499278779,0.2893703717592263
83.0,148.97,64.3,25.48,ALPHA,THETA,True,False,False,-0.2608218351028153,0.340891499278779,1.0264407419337702
83.0,148.68,64.19,25.46,GAMMA,THETA,True,False,False,-0.14424037892747987,0.1076057749469235,-0.4666469614576807
82.0,148.23,64.18,25.63,GAMMA,THETA,True,False,False,-0.19724477628337422,0.14028247357318158,-0.3817282033684525
82.0,148.31,64.27,25.72,GAMMA,THETA,True,False,False,0.3712680318006859,-0.11587151090507877,0.09560894401366407
82.0,148.37,64.33,25.55,ALPHA,THETA,True,False,False,0.2895616823829767,-0.11026391120941671,0.44898006000269963
82.0,148.62,64.33,25.55,ALPHA,THETA,True,False,False,-0.16578585116557312,-0.11026391120941671,0.44898006000269963
82.0,148.32,64.13,25.65,ALPHA,THETA,True,False,False,0.064659516621685,0.012042159724286438,0.171030999790733
81.0,148.7,64.65,25.83,ALPHA,THETA,False,True,True,0.000195829513665213,-0.2097116909272674,-0.0015878181200358165
81.0,149.1,64.56,25.79,ALPHA,THETA,False,True,True,-0.11740245512468206,0.008635502123983,-0.5356091057277989
81.0,148.7,64.75,25.79,GAMMA,THETA,False,True,True,0.3151984017996151,0.014374794182133367,-0.5356091057277989
81.0,149.28,64.6,25.69,THETA,THETA,False,True,True,-0.4349896507003452,-0.15852036262695487,-0.1384267434725783
81.0,148.98,64.76,25.79,THETA,GAMMA,False,True,True,-0.04103433742787236,0.08451897885724288,3.7486689829741174e-05
80.0,148.94,64.83,26.04,ALPHA,GAMMA,False,True,True,0.019494034635724494,0.055878988754273586,0.32760589161750453
80.0,149.54,64.64,25.89,ALPHA,GAMMA,False,True,True,0.2432453295365415,-0.21184945834406077,-0.3922960890997924
80.0,149.24,64.67,25.99,ALPHA,GAMMA,False,True,True,0.08951449134444939,0.402440864231891,0.5098607715964134
79.0,148.56,64.8,25.92,ALPHA,GAMMA,False,True,True,-0.03240358596676133,0.46892557288540004,0.47664511824331524
79.0,149.05,64.8,25.86,ALPHA,GAMMA,False,True,True,-0.35411917363142537,0.46892557288540004,-0.1841786522489898
79.0,148.56,64.8,25.92,GAMMA,GAMMA,False,True,True,-0.08546783953902962,0.46892557288540004,-0.7734408104032012
79.0,148.86,64.6,25.82,GAMMA,ALPHA,False,True,True,-0.1327374569090592,-0.025585844700495283,0.12909784684941542
78.0,148.69,65.01,25.92,THETA,ALPHA,False,True,True,-0.09724280384032548,-0.02808903228977337,0.17948891816462542
78.0,148.78,64.99,25.93,THETA,ALPHA,False,True,True,0.5241464676442844,-0.709632275377171,0.3830192333291723
78.0,148.96,65.25,26.03,THETA,GAMMA,False,True,True,-0.08307066564036643,-0.10244227278610574,-0.5057609833279271
78.0,148.54,65.07,26.06,THETA,GAMMA,False,True,True,-0.2838683477331373,-0.3380025556954735,-0.5283364818895646
78.0,148.84,65.09,25.96,ALPHA,GAMMA,False,True,True,0.4039779869153707,0.652265511761265,0.0748554855159428
77.0,149.5,64.8,26.01,GAMMA,THETA,False,True,True,0.4572085085273744,0.577119835861181,-0.25114399941421495
77.0,149.64,64.8,26.04,GAMMA,THETA,False,True,True,-0.4174656386490583,0.577119835861181,0.10734938840905657
77.0,149.66,64.94,25.95,GAMMA,THETA,False,True,True,0.4353048084158741,0.05765402537828453,0.1934420635131558
77.0,149.06,64.96,26.06,ALPHA,THETA,False,True,True,0.21296809564973906,-0.33015568372272114,0.45489113436171413
77.0,149.36,65.0,25.96,ALPHA,GAMMA,False,True,True,-0.08806359713521018,0.258489052026669,-0.0791292206539224
76.0,149.42,65.43,26.31,ALPHA,THETA,False,True,True,-0.127546984250273,0.12464029029042517,-0.19660510146956844
76.0,149.72,65.32,26.21,ALPHA,THETA,False,True,True,-0.06437590080016567,-0.5299391254767285,-0.2562161650586876
76.0,149.42,65.23,26.24,ALPHA,THETA,False,True,True,-0.14413530001680436,0.09524313108091215,0.12098198959368886
76.0,149.72,65.33,26.21,ALPHA,THETA,False,True,True,-0.21506476358319415,0.4588839350207392,0.03745439970622043
43.0,154.09,63.87,26.81,ALPHA,THETA,True,False,False,-0.23223220048271961,-0.006770477962198403,-0.4950120391051256
43.0,154.69,64.02,26.74,GAMMA,THETA,True,False,False,-0.22026952916641382,-0.026631799424358716,-0.10803218740882761
43.0,154.39,63.93,26.72,GAMMA,THETA,True,False,False,0.03892699665026559,0.027922542388171274,0.7566819294802922
42.0,153.96,64.02,26.86,GAMMA,THETA,True,False,False,0.047494877651127955,0.024367239214377903,0.7753011611198982
42.0,154.16,64.38,26.91,GAMMA,THETA,True,False,False,0.07721805195947302,0.4166401482588576,-0.11972520240982698
42.0,153.87,64.38,26.8,GAMMA,THETA,True,False,False,0.05606137332038104,0.4166401482588576,-0.2622301374542619
42.0,154.17,64.29,26.8,GAMMA,THETA,True,False,False,0.11918512612893856,-0.041220731969334394,-0.2622301374542619
41.0,153.74,64.21,26.88,GAMMA,THETA,False,True,True,0.17520857699300543,-0.3802178462897505,-0.12133016583958244
41.0,153.99,64.14,26.85,GAMMA,THETA,False,True,True,-0.06201556938625745,-0.504619195348576,0.39251459198458716
41.0,153.95,64.03,26.83,GAMMA,THETA,False,True,True,-0.17015077495379782,0.2684814257756296,0.5025523285047157
41.0,154.06,64.23,26.92,GAMMA,THETA,False,True,True,0.2210946334155698,-0.005140166911872055,0.3826766256861582
41.0,154.04,64.23,26.92,GAMMA,THETA,False,True,True,0.2423528825524591,-0.005140166911872055,0.3826766256861582
40.0,155.05,64.39,27.0,ALPHA,THETA,False,True,True,0.09962384802872355,-0.07415961492027699,0.3319573866759536
40.0,155.03,64.36,26.93,ALPHA,THETA,False,True,True,0.054440122968022274,-0.6771859466249321,-0.10273132311717585
40.0,155.4,64.39,26.87,ALPHA,THETA,False,True,True,-0.1592504819018946,0.04077791931655212,-0.2678062542058982
40.0,155.1,64.37,26.97,ALPHA,THETA,False,True,True,-0.025581255706097452,0.10126787881750969,0.38329041622455945
39.0,156.11,64.3,27.09,THETA,GAMMA,False,True,True,-0.13263233611949996,-0.012698737973800162,0.33900398813227334
39.0,156.04,64.39,27.19,THETA,GAMMA,False,True,True,-0.1690417744056592,0.2718662856132875,0.5426678327107899
39.0,156.34,64.14,27.28,THETA,GAMMA,False,True,True,0.28679761558768035,-0.07420164039346039,0.27289849004583616
39.0,156.18,64.34,27.08,ALPHA,GAMMA,False,True,True,0.010542332505826106,-0.004000619729698924,-0.6734402950486562
38.0,155.83,63.98,27.22,THETA,GAMMA,False,True,True,-0.0652170851386805,-0.16753334256941463,-0.6462808742835614
38.0,155.49,64.14,27.27,THETA,GAMMA,False,True,True,-0.6708621901798268,0.5143561038400317,-0.050346843162402594
38.0,155.53,64.16,27.17,THETA,ALPHA,False,True,True,0.3712449725276554,0.5295207928619331,0.20175966202692877
37.0,155.81,64.13,26.96,GAMMA,ALPHA,False,True,True,0.3416494225276373,0.5651371217217507,0.09125721071948945
37.0,156.1,64.13,26.93,GAMMA,ALPHA,False,True,True,0.2046172718150851,0.5651371217217507,-0.42551954177449813
37.0,156.03,64.39,27.11,GAMMA,ALPHA,False,True,True,0.1813982549530997,0.13750258434585538,-0.04911065447994486
37.0,155.99,64.39,27.11,GAMMA,ALPHA,False,True,True,0.1569864597381406,0.13750258434585538,-0.04911065447994486
36.0,157.53,64.24,27.1,GAMMA,ALPHA,False,True,True,0.040537338799488225,0.18546048909520038,-0.02330081773253187
36.0,157.63,64.39,27.07,GAMMA,ALPHA,False,True,True,0.11110745403890436,-0.12884986541714175,0.10866863630074963
36.0,157.33,64.39,27.13,GAMMA,ALPHA,False,True,True,-0.0767366218264825,-0.12884986541714175,-0.15568786085817887
