tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
431.0,148.03,60.75,25.52,GAMMA,THETA,False,True,False
431.0,148.06,61.05,25.5,ALPHA,THETA,False,True,False
431.0,148.33,61.04,25.52,ALPHA,THETA,False,True,False
430.0,148.06,61.48,25.24,ALPHA,THETA,False,True,False
430.0,147.46,61.48,25.11,ALPHA,THETA,False,True,False
430.0,148.06,61.1,25.31,ALPHA,THETA,False,True,False
430.0,147.76,61.28,25.21,ALPHA,THETA,True,False,True
429.0,146.78,61.26,24.83,ALPHA,THETA,True,False,True
429.0,147.23,61.11,24.86,ALPHA,THETA,True,False,True
429.0,147.08,61.31,24.73,ALPHA,THETA,True,False,True
428.0,144.24,62.02,24.21,ALPHA,GAMMA,True,False,True
428.0,144.44,61.99,24.29,ALPHA,GAMMA,True,False,True
428.0,144.54,61.73,24.21,THETA,GAMMA,True,False,True
427.0,143.0,62.01,24.05,THETA,GAMMA,True,False,True
427.0,143.28,61.8,23.99,THETA,ALPHA,True,False,True
427.0,143.6,61.9,23.9,THETA,ALPHA,True,False,True
427.0,143.3,62.2,24.0,THETA,ALPHA,True,False,True
426.0,143.84,62.61,23.97,GAMMA,ALPHA,True,False,True
382.0,134.59,63.75,22.52,ALPHA,THETA,True,False,False
382.0,134.72,63.39,22.39,ALPHA,THETA,True,False,False
382.0,134.62,63.55,22.49,ALPHA,THETA,True,False,False
381.0,135.04,63.28,22.45,ALPHA,THETA,True,False,False
381.0,134.66,63.68,22.4,ALPHA,THETA,True,False,False
381.0,135.04,63.62,22.25,ALPHA,THETA,True,False,False
381.0,134.74,63.48,22.35,ALPHA,GAMMA,True,False,False
380.0,135.62,62.6,22.47,ALPHA,THETA,True,False,False
380.0,135.02,62.6,22.42,GAMMA,THETA,True,False,False
380.0,135.19,62.82,22.4,GAMMA,THETA,True,False,False
380.0,135.32,62.62,22.5,GAMMA,THETA,False,True,False
379.0,136.0,62.25,22.75,GAMMA,THETA,False,True,False
379.0,136.01,62.21,22.77,GAMMA,THETA,False,True,False
379.0,136.42,62.08,22.68,GAMMA,THETA,False,True,False
379.0,136.12,62.28,22.7,GAMMA,THETA,False,True,False
379.0,134.22,62.28,22.7,ALPHA,THETA,True,False,True
378.0,134.78,62.06,22.29,ALPHA,THETA,True,False,True
378.0,134.48,62.26,22.19,ALPHA,THETA,True,False,True
378.0,134.9,62.26,22.19,ALPHA,THETA,True,False,True
377.0,135.34,62.1,22.34,ALPHA,THETA,True,False,True
377.0,135.07,61.76,22.29,ALPHA,THETA,True,False,True
377.0,135.22,61.84,22.41,ALPHA,THETA,True,False,True
377.0,135.04,61.9,22.33,ALPHA,THETA,True,False,True
376.0,133.4,61.56,22.24,ALPHA,THETA,True,False,True
376.0,133.97,61.46,22.39,ALPHA,THETA,True,False,True
376.0,134.0,61.58,22.21,ALPHA,THETA,True,False,True
376.0,133.4,61.57,22.28,ALPHA,THETA,True,False,True
376.0,133.7,61.66,22.29,ALPHA,THETA,True,False,True
375.0,133.81,61.24,22.54,ALPHA,THETA,True,False,True
